Date,Component,MOS,Cutoff_SGT,Cutoff_SSG,Eligibles_SGT,Eligibles_SSG,Promotions_SGT,Promotions_SSG
2024-APR,ACTIVE,25U,408,584,778,757,41,21
2024-APR,ACTIVE,27D,242,465,44,142,17,12
2024-APR,ACTIVE,31B,330,491,319,412,40,7
2024-APR,ACTIVE,31D,24,798,1,36,1,0
2024-APR,ACTIVE,31E,24,527,11,122,11,2
2024-APR,ACTIVE,31K,531,539,70,31,1,2
2024-APR,ACTIVE,35F,407,409,625,342,49,45
2024-APR,ACTIVE,35G,458,798,262,105,6,0
2024-APR,ACTIVE,35L,24,393,7,35,7,6
2024-APR,ACTIVE,35M,439,493,133,89,4,2
2024-APR,ACTIVE,35N,345,451,318,162,30,16
2024-APR,ACTIVE,35PAZ,24,560,1,44,1,1
2024-APR,ACTIVE,35PCM,24,24,0,2,0,2
2024-APR,ACTIVE,35PFR,372,359,4,1,1,1
2024-APR,ACTIVE,35PKP,24,798,3,24,3,0
2024-APR,ACTIVE,35PPF,383,507,15,13,5,4
2024-APR,ACTIVE,35PQB,798,798,57,31,0,0
2024-APR,ACTIVE,35PRU,24,24,3,2,3,2
2024-APR,ACTIVE,35S,24,449,8,57,8,1
2024-APR,ACTIVE,35T,396,798,100,30,7,0
2024-APR,ACTIVE,36B,575,529,142,40,1,3
2024-APR,ACTIVE,37F,,24,,11,,11
2024-APR,ACTIVE,42A,468,798,862,628,13,0
2024-APR,ACTIVE,42R,798,798,28,105,0,0
2024-APR,ACTIVE,46S,24,798,7,28,7,0
2024-APR,ACTIVE,46T,798,798,29,19,0,0
2024-APR,ACTIVE,46V,798,798,71,64,0,0
2024-APR,ACTIVE,51C,,24,,0,,0
2024-APR,ACTIVE,56M,364,798,69,157,3,0
2024-APR,ACTIVE,68A,278,544,28,40,9,1
2024-APR,ACTIVE,68B,164,470,3,9,2,2
2024-APR,ACTIVE,68C,409,592,183,180,9,5
2024-APR,ACTIVE,68D,458,548,101,66,4,3
2024-APR,ACTIVE,68E,537,798,138,98,7,0
2024-APR,ACTIVE,68F,24,522,4,41,4,1
2024-APR,ACTIVE,68G,506,562,39,53,1,2
2024-APR,ACTIVE,68H,798,798,20,8,0,0
2024-APR,ACTIVE,68J,423,559,78,61,7,3
2024-APR,ACTIVE,68K,542,616,168,108,2,1
2024-APR,ACTIVE,68L,798,798,1,15,0,0
2024-APR,ACTIVE,68M,798,798,19,19,0,0
2024-APR,ACTIVE,68P,471,798,147,71,11,0
2024-APR,ACTIVE,68Q,597,589,54,46,1,2
2024-APR,ACTIVE,68R,482,622,102,130,3,3
2024-APR,ACTIVE,68S,418,798,18,47,3,0
2024-APR,ACTIVE,68T,523,798,52,62,1,0
2024-APR,ACTIVE,68V,24,798,0,64,0,0
2024-APR,ACTIVE,68W,343,538,866,929,113,59
2024-APR,ACTIVE,68X,380,585,75,104,7,2
2024-APR,ACTIVE,68Y,24,798,2,5,2,0
2024-APR,ACTIVE,74D,273,420,186,322,40,19
2024-APR,ACTIVE,79R,,24,,0,,0
2024-APR,ACTIVE,79S,,798,,15,,0
2024-APR,ACTIVE,88H,798,798,159,143,0,0
2024-APR,ACTIVE,88K,24,354,2,4,2,2
2024-APR,ACTIVE,88L,24,175,1,2,1,2
2024-APR,ACTIVE,88M,251,534,349,1008,94,40
2024-APR,ACTIVE,88N,282,419,42,91,9,9
2024-APR,ACTIVE,89A,24,,1,,1,
2024-APR,ACTIVE,89B,412,510,242,89,12,2
2024-APR,ACTIVE,89D,24,24,14,20,14,20
2024-APR,ACTIVE,91A,24,384,7,98,7,8
2024-APR,ACTIVE,91B,336,552,974,1287,89,31
2024-APR,ACTIVE,91C,395,798,145,227,7,0
2024-APR,ACTIVE,91D,397,642,220,231,18,2
2024-APR,ACTIVE,91E,377,614,93,127,3,3
2024-APR,ACTIVE,91F,415,596,178,197,9,8
2024-APR,ACTIVE,91H,798,798,2,54,0,0
2024-APR,ACTIVE,91J,798,,76,,0,
2024-APR,ACTIVE,91L,24,400,8,34,8,4
2024-APR,ACTIVE,91M,24,361,12,106,12,7
2024-APR,ACTIVE,91P,24,798,0,21,0,0
2024-APR,ACTIVE,91S,375,798,96,143,1,0
2024-APR,ACTIVE,92A,393,798,544,811,27,0
2024-APR,ACTIVE,92F,387,631,550,599,43,3
2024-APR,ACTIVE,92G,149,517,66,372,36,2
2024-APR,ACTIVE,92L,798,,15,,0,
2024-APR,ACTIVE,92M,349,363,12,7,1,2
2024-APR,ACTIVE,92R,355,584,60,100,9,2
2024-APR,ACTIVE,92S,24,512,2,19,2,2
2024-APR,ACTIVE,92W,374,588,63,114,7,1
2024-APR,ACTIVE,92Y,304,495,453,900,60,30
2024-APR,ACTIVE,94A,798,798,20,10,0,0
2024-APR,ACTIVE,94D,798,798,10,7,0,0
2024-APR,ACTIVE,94E,388,435,63,18,4,4
2024-APR,ACTIVE,94F,485,798,114,25,4,0
2024-APR,ACTIVE,94H,798,798,3,5,0,0
2024-APR,ACTIVE,94M,340,798,26,6,1,0
2024-APR,ACTIVE,94P,24,798,2,9,2,0
2024-APR,ACTIVE,94R,798,798,30,10,0,0
2024-APR,ACTIVE,94S,211,377,5,4,3,1
2024-APR,ACTIVE,94T,798,798,33,9,0,0
2024-APR,ACTIVE,94Y,798,798,7,12,0,0
2025-APR,ACTIVE,11B,447,550,2804,1897,312,105
2025-APR,ACTIVE,11C,455,498,402,162,23,10
2025-APR,ACTIVE,12B,24,390,62,375,62,29
2025-APR,ACTIVE,12C,221,608,4,83,4,2
2025-APR,ACTIVE,12D,24,24,0,0,0,0
2025-APR,ACTIVE,12H,,798,,38,,0
2025-APR,ACTIVE,12K,798,,2,,0,
2025-APR,ACTIVE,12M,425,24,13,0,1,0
2025-APR,ACTIVE,12N,472,599,139,220,5,6
2025-APR,ACTIVE,12P,24,798,0,90,0,0
2025-APR,ACTIVE,12R,24,,2,,2,
2025-APR,ACTIVE,12T,24,24,4,2,4,2
2025-APR,ACTIVE,12W,798,,18,,0,
2025-APR,ACTIVE,12Y,24,24,2,6,2,6
2025-APR,ACTIVE,13B,24,303,37,147,37,33
2025-APR,ACTIVE,13F,24,424,20,242,20,30
2025-APR,ACTIVE,13J,273,304,137,61,24,9
2025-APR,ACTIVE,13M,24,24,18,14,18,14
2025-APR,ACTIVE,13R,356,379,52,24,4,5
2025-APR,ACTIVE,14E,349,460,127,76,24,10
2025-APR,ACTIVE,14G,523,542,218,93,14,11
2025-APR,ACTIVE,14H,390,598,77,93,8,6
2025-APR,ACTIVE,14P,440,604,135,162,12,12
2025-APR,ACTIVE,14T,449,496,227,135,14,13
2025-APR,ACTIVE,15B,798,798,122,40,0,0
2025-APR,ACTIVE,15C,645,798,216,63,5,0
2025-APR,ACTIVE,15D,798,798,125,52,0,1
2025-APR,ACTIVE,15E,534,532,74,25,6,4
2025-APR,ACTIVE,15F,513,710,67,22,6,4
2025-APR,ACTIVE,15G,593,702,83,45,2,1
2025-APR,ACTIVE,15H,391,783,33,29,6,1
2025-APR,ACTIVE,15M,378,632,35,26,4,3
2025-APR,ACTIVE,15N,798,798,8,55,0,0
2025-APR,ACTIVE,15P,307,596,60,117,14,10
2025-APR,ACTIVE,15Q,262,385,41,21,11,7
2025-APR,ACTIVE,15R,574,678,506,261,26,12
2025-APR,ACTIVE,15T,456,529,462,378,41,26
2025-APR,ACTIVE,15U,564,673,242,212,6,7
2025-APR,ACTIVE,15W,494,644,121,57,9,5
2025-APR,ACTIVE,15Y,425,715,133,143,5,2
2025-APR,ACTIVE,17C,64,144,9,5,9,5
2025-APR,ACTIVE,17E,24,153,7,4,7,4
2025-APR,ACTIVE,19C,309,288,116,82,20,43
2025-APR,ACTIVE,19D,24,164,55,70,55,58
2025-APR,ACTIVE,19K,24,263,33,68,33,11
2025-APR,ACTIVE,25B,629,691,971,677,36,23
2025-APR,ACTIVE,25D,,24,,0,,0
2025-APR,ACTIVE,25E,,798,,0,,0
2025-APR,ACTIVE,25H,504,683,611,529,34,16
2025-APR,ACTIVE,25S,390,727,137,241,20,7
2025-APR,ACTIVE,25U,576,726,927,795,47,22
2025-APR,ACTIVE,27D,798,798,45,142,0,0
2025-APR,ACTIVE,31B,445,615,538,565,94,33
2025-APR,ACTIVE,31D,24,299,0,1,0,1
2025-APR,ACTIVE,31E,459,798,38,136,3,1
2025-APR,ACTIVE,31K,525,552,52,21,7,7
2025-APR,ACTIVE,35F,600,582,736,410,14,15
2025-APR,ACTIVE,35G,569,677,228,152,10,6
2025-APR,ACTIVE,35L,24,649,4,68,4,1
2025-APR,ACTIVE,35M,597,798,159,98,1,0
2025-APR,ACTIVE,35N,442,561,249,184,16,7
2025-APR,ACTIVE,35PAZ,24,351,2,21,2,9
2025-APR,ACTIVE,35PCM,24,24,5,3,5,3
2025-APR,ACTIVE,35PFR,798,798,16,4,0,0
2025-APR,ACTIVE,35PKP,343,704,27,49,6,4
2025-APR,ACTIVE,35PPF,318,394,16,16,8,5
2025-APR,ACTIVE,35PQB,557,798,41,32,4,0
2025-APR,ACTIVE,35PRU,24,24,5,2,5,2
2025-APR,ACTIVE,35S,24,384,2,55,2,4
2025-APR,ACTIVE,35T,798,542,107,61,0,2
2025-APR,ACTIVE,36B,798,798,152,92,0,0
2025-APR,ACTIVE,37F,,798,,16,,0
2025-APR,ACTIVE,42A,566,563,844,774,74,35
2025-APR,ACTIVE,42R,798,798,61,128,0,1
2025-APR,ACTIVE,46S,798,798,9,56,0,0
2025-APR,ACTIVE,46T,603,798,32,28,1,0
2025-APR,ACTIVE,46V,527,783,63,73,6,3
2025-APR,ACTIVE,51C,,24,,0,,0
2025-APR,ACTIVE,56M,516,688,73,157,4,3
2025-APR,ACTIVE,68A,405,518,40,60,11,11
2025-APR,ACTIVE,68B,409,798,10,11,1,0
2025-APR,ACTIVE,68C,584,798,119,172,2,0
2025-APR,ACTIVE,68D,528,554,81,60,4,2
2025-APR,ACTIVE,68E,664,798,158,118,7,4
2025-APR,ACTIVE,68F,107,798,4,39,4,0
2025-APR,ACTIVE,68G,544,669,41,53,4,1
2025-APR,ACTIVE,68H,541,798,13,10,3,0
2025-APR,ACTIVE,68J,560,557,67,75,1,1
2025-APR,ACTIVE,68K,680,742,159,140,2,1
2025-APR,ACTIVE,68L,798,798,3,26,0,0
2025-APR,ACTIVE,68M,656,798,44,34,2,0
2025-APR,ACTIVE,68P,618,585,120,68,8,4
2025-APR,ACTIVE,68Q,584,612,74,62,5,3
2025-APR,ACTIVE,68R,632,777,127,124,7,7
2025-APR,ACTIVE,68S,425,593,32,51,8,6
2025-APR,ACTIVE,68T,648,614,65,60,3,1
2025-APR,ACTIVE,68V,24,798,0,107,0,1
2025-APR,ACTIVE,68W,455,652,797,1207,51,29
2025-APR,ACTIVE,68X,409,542,76,100,12,7
2025-APR,ACTIVE,68Y,24,798,1,6,1,0
2025-APR,ACTIVE,74D,309,495,194,396,45,18
2025-APR,ACTIVE,79R,,24,,0,,0
2025-APR,ACTIVE,79S,,798,,0,,0
2025-APR,ACTIVE,88H,798,798,180,185,0,0
2025-APR,ACTIVE,88K,162,181,5,2,5,2
2025-APR,ACTIVE,88L,108,362,6,10,4,1
2025-APR,ACTIVE,88M,333,636,372,1130,54,42
2025-APR,ACTIVE,88N,798,603,129,206,0,14
2025-APR,ACTIVE,89A,24,,0,,0,
2025-APR,ACTIVE,89B,510,411,201,74,14,10
2025-APR,ACTIVE,89D,24,500,5,19,5,3
2025-APR,ACTIVE,91A,24,368,6,113,6,9
2025-APR,ACTIVE,91B,442,572,1034,1400,95,40
2025-APR,ACTIVE,91C,500,798,127,218,6,0
2025-APR,ACTIVE,91D,473,798,179,236,11,2
2025-APR,ACTIVE,91E,439,725,79,127,5,3
2025-APR,ACTIVE,91F,524,773,199,207,16,7
2025-APR,ACTIVE,91H,24,518,5,86,5,2
2025-APR,ACTIVE,91J,528,,78,,9,
2025-APR,ACTIVE,91L,24,538,2,50,2,4
2025-APR,ACTIVE,91M,24,412,4,132,4,13
2025-APR,ACTIVE,91P,24,501,2,19,2,1
2025-APR,ACTIVE,91S,416,644,79,154,17,9
2025-APR,ACTIVE,92A,523,767,639,983,34,22
2025-APR,ACTIVE,92F,520,630,504,695,27,19
2025-APR,ACTIVE,92G,153,524,50,362,22,22
2025-APR,ACTIVE,92L,798,,19,,0,
2025-APR,ACTIVE,92M,289,285,4,2,1,2
2025-APR,ACTIVE,92R,409,547,85,163,12,9
2025-APR,ACTIVE,92S,158,798,2,8,1,0
2025-APR,ACTIVE,92W,418,798,79,112,7,1
2025-APR,ACTIVE,92Y,420,563,625,1209,61,35
2025-APR,ACTIVE,94A,514,493,16,8,1,1
2025-APR,ACTIVE,94D,211,176,9,7,6,6
2025-APR,ACTIVE,94E,648,798,58,32,1,0
2025-APR,ACTIVE,94F,642,798,84,22,1,0
2025-APR,ACTIVE,94H,798,326,4,3,0,1
2025-APR,ACTIVE,94M,798,454,33,22,0,1
2025-APR,ACTIVE,94P,24,491,0,10,0,1
2025-APR,ACTIVE,94R,567,798,21,13,1,0
2025-APR,ACTIVE,94S,24,187,0,3,0,3
2025-APR,ACTIVE,94T,611,798,38,10,1,0
2025-APR,ACTIVE,94Y,161,798,2,5,1,0
2023-AUG,ACTIVE,11B,450,467,1571,1153,8,18
2023-AUG,ACTIVE,11C,355,353,195,14,7,4
2023-AUG,ACTIVE,12B,57,364,73,330,73,33
2023-AUG,ACTIVE,12C,172,428,4,37,4,1
2023-AUG,ACTIVE,12D,798,798,0,0,0,0
2023-AUG,ACTIVE,12H,,290,,9,,6
2023-AUG,ACTIVE,12K,220,,3,,3,
2023-AUG,ACTIVE,12M,318,292,13,3,2,2
2023-AUG,ACTIVE,12N,319,547,213,186,35,5
2023-AUG,ACTIVE,12P,798,798,0,62,0,0
2023-AUG,ACTIVE,12R,214,,10,,7,
2023-AUG,ACTIVE,12T,352,798,22,4,2,0
2023-AUG,ACTIVE,12W,798,,4,,0,
2023-AUG,ACTIVE,12Y,246,164,29,7,6,7
2023-AUG,ACTIVE,13B,38,324,42,202,42,25
2023-AUG,ACTIVE,13F,99,405,40,181,40,7
2023-AUG,ACTIVE,13J,238,256,135,32,23,17
2023-AUG,ACTIVE,13M,88,155,11,10,11,10
2023-AUG,ACTIVE,13R,250,169,53,4,9,4
2023-AUG,ACTIVE,14E,326,421,211,72,6,3
2023-AUG,ACTIVE,14G,398,459,209,69,13,4
